id,genre,distance,dept,population,naissance,groupe,sp_2019,sp_2020,sp_2021,pc_2019,pc_2020,pc_2021,ih_2019,ih_2020,ih_2021,ic_2019,ic_2020,ic_2021,ap_2019,ap_2020,ap_2021,qe_2019,qe_2020,qe_2021,tor_2020,tor_2021,R0_2021,incid_2021,diffact_sansap_c2,diffact_sansap_c1,diffact_ap_c2,diffact_ap_c1
254,F,265,49,819528,1951,LREM,16,6,6,27,13,0,3,4,4,2,2,0,0,1,36,3,1,1,0.3447392876238,0.55864522069744,0.896470588235294,149.697436412476,-0.591666666666667,-0.4,-0.591666666666667,5.5
255,H,115,80,567242,1975,LFI,14,4,5,22,2,0,94,24,144,67,2,0,98,15,137,8,6,4,0.584143642727381,1.14755609564492,0.855882352941176,210.704585852285,-0.522188449848024,0.583333333333333,-0.368830510927775,1.84166666666667
256,H,246,53,305424,1958,MODEM,15,7,4,22,5,0,78,33,25,43,0,0,18,31,14,8,9,2,0.3447392876238,0.55864522069744,0.896470588235294,133.591333804001,-0.832564102564103,-0.612193362193362,-0.730840455840456,-0.599432109109528
257,H,454,73,437659,1971,MODEM,14,17,7,13,21,7,66,38,22,30,3,0,16,1,10,0,0,0,0.509411006597803,0.78410035201108,0.885294117647059,155.208888071722,-0.657051282051282,-0.668988648090815,-0.600641025641026,1.26480908152735
258,F,588,31,1424915,1963,LREM,14,2,3,22,3,0,6,0,0,12,0,0,15,0,7,10,17,13,0.265829104201909,0.545100607957897,0.893529411764706,131.450025287733,-0.697142857142857,-0.245098039215686,-0.66984126984127,-0.245098039215686
259,F,147,51,561705,1984,AE,15,4,6,25,8,0,44,2,4,5,1,0,18,56,100,11,11,14,0.926480683150818,0.716473002659267,0.885882352941176,167.981378386271,-0.647272727272727,-0.0454545454545455,0.21986531986532,0.0930735930735931
260,H,204,59,2598299,1989,LFI,16,8,6,20,12,0,161,112,72,137,28,0,190,58,231,9,5,1,0.584143642727381,1.14755609564492,0.855882352941176,235.345193702304,-0.813336783988958,-0.681428571428571,-0.64181574104343,-0.0707307060755337
261,H,198,18,296794,1972,LREM,14,5,4,12,6,0,15,3,16,2,0,0,1,4,81,3,7,2,0.446746885133982,0.788410991636798,0.891176470588235,136.002768875867,-0.596190476190476,0.604761904761905,12.8365079365079,4.33380952380952
262,H,121,2,525503,1957,SOC,15,9,5,28,11,0,49,74,18,56,34,0,14,36,42,0,2,6,0.584143642727381,1.14755609564492,0.855882352941176,213.075250060104,-0.824829931972789,-0.24024024024024,-0.259863945578231,-0.172422422422423
263,F,42,77,1432475,1961,LREM,15,9,7,19,7,0,4,10,0,1,2,0,2,0,18,0,0,2,1.02830887227349,1.0399977500914,0.871176470588235,293.207159494076,-0.883333333333333,-0.805555555555556,0.893333333333333,-0.805555555555556
