id,genre,distance,dept,population,naissance,groupe,pc_2019,pc_2020,ih_2019,ih_2020,ic_2019,ic_2020,sp_2019,sp_2020,qe_2019,qe_2020,ap_2019,ap_2020,tor
421,F,588,31,1424915,1945,LREM,27,7,4,9,23,1,16,8,0,0,0,0,0.177860462273925
422,H,661,13,2048395,1953,LR,8,0,0,0,0,0,12,2,3,2,0,0,0.274464560017555
423,H,491,48,76530,1958,UDI,26,9,43,1,35,0,21,7,22,33,141,63,0.177860462273925
425,H,68,60,829695,1987,LR,71,23,74,85,39,9,24,18,5,12,99,54,0.379909828123325
426,H,11,94,1418572,1979,LREM,28,19,34,26,26,3,19,17,5,8,69,36,0.670052702578345
427,F,198,18,296794,1957,MODEM,28,7,34,5,10,2,20,9,3,1,0,11,0.284554287664887
428,F,482,38,1271078,1977,LREM,20,8,357,14,315,0,17,9,6,1,201,1,0.324581145286322
429,F,339,71,547181,1951,SOC,28,37,52,73,100,11,20,17,29,25,77,127,0.372406088535121
430,H,11,94,1418572,1948,LR,22,16,18,72,6,14,18,12,0,0,5,11,0.670052702578345
431,F,1,75,2142366,1980,LFI,38,26,223,96,101,18,23,24,28,9,190,118,0.670052702578345
432,H,115,80,567242,1954,LREM,65,13,16,3,24,2,23,10,4,3,3,1,0.379909828123325
433,F,627,11,377719,1962,LREM,45,6,2,2,20,0,20,10,15,3,11,0,0.177860462273925
434,H,149,89,333006,1954,UDI,26,3,2,0,24,0,22,5,1,0,0,0,0.372406088535121
435,F,556,5,140022,1965,LREM,38,21,26,7,91,1,21,11,8,17,82,14,0.274464560017555
436,H,9365,974,857809,1967,LFI,32,17,59,16,49,0,12,9,4,11,88,24,0.0996163974274573
437,H,373,85,691269,1974,LREM,16,8,7,5,3,0,16,10,6,1,10,11,0.221624069339017
438,H,400,56,763103,1976,LREM,14,2,0,0,2,0,12,4,5,0,2,0,0.169444376715242
439,F,410,42,765283,1984,LREM,9,11,1,6,10,8,9,12,8,1,7,51,0.324581145286322
440,F,579,30,750683,1960,LREM,26,40,4,0,22,3,19,24,14,7,10,1,0.177860462273925
442,F,653,64,688589,1974,MODEM,20,7,19,4,23,0,17,8,13,27,70,11,0.150776358147393
443,H,436,74,838480,1969,LR,30,9,158,1,142,0,21,7,29,33,296,31,0.324581145286322
446,H,173,61,275131,1972,LR,17,5,36,17,28,0,18,9,24,21,140,10,0.187244440787068
447,H,436,74,838480,1970,LREM,31,18,15,6,13,1,19,17,3,5,35,6,0.324581145286322
449,H,595,34,1196633,1956,LREM,65,21,12,34,154,2,18,15,4,0,71,36,0.177860462273925
450,H,410,42,765283,1955,LR,73,27,101,23,30,5,18,10,35,32,229,78,0.324581145286322
451,F,661,13,2048395,1976,LREM,29,12,12,1,11,0,20,7,3,0,23,3,0.274464560017555
452,H,68,60,829695,1959,LREM,22,9,48,7,84,12,18,10,0,0,32,24,0.379909828123325
453,F,18,78,1452910,1961,LREM,25,23,10,27,22,0,23,14,5,0,30,26,0.670052702578345
454,F,173,61,275131,1961,LR,59,25,105,170,112,33,20,19,34,45,263,216,0.187244440787068
455,H,6789,971,375693,1956,MODEM,10,3,7,0,12,1,11,4,1,2,70,7,0.279452856411382
456,H,397,67,1147474,1963,AE,25,6,22,2,23,0,19,7,9,5,18,0,0.552756977921241
457,H,263,21,532026,1956,LR,49,21,1,8,22,0,21,10,13,4,11,19,0.372406088535121
459,F,11,92,1633100,1963,LT,24,21,143,43,59,209,21,14,0,9,97,76,0.670052702578345
460,F,661,13,2048395,1970,LREM,31,9,4,3,22,0,21,10,4,1,18,24,0.274464560017555
461,F,1,75,2142366,1985,LREM,16,17,133,34,131,3,16,15,0,0,71,16,0.670052702578345
462,F,595,32,191387,1952,SOC,24,3,65,14,20,1,16,7,12,22,19,1,0.177860462273925
463,F,6856,972,354824,1950,SOC,22,8,27,30,33,0,13,6,4,9,20,116,0.243582147499198
465,H,579,30,750683,1975,LREM,42,2,178,1,170,0,19,5,6,1,156,10,0.177860462273925
466,H,8042,976,288926,1959,LR,11,2,38,0,23,2,9,4,28,46,21,7,0.679800307219662
468,H,653,64,688589,1955,MODEM,32,13,14,2,12,1,19,11,0,0,2,6,0.150776358147393
469,H,379,68,763801,1951,LR,9,0,2,0,1,0,10,2,10,4,0,0,0.552756977921241
470,H,11,92,1633100,1971,LREM,4,1,0,0,0,0,13,3,1,0,0,0,0.670052702578345
473,H,373,85,691269,1991,LREM,16,6,4,4,5,0,22,13,8,4,1,8,0.221624069339017
474,H,204,59,2598299,1990,LFI,17,7,58,52,15,2,20,10,24,22,52,19,0.379909828123325
475,F,327,25,543221,1956,LR,71,33,831,563,81,0,24,24,25,11,222,152,0.372406088535121
476,F,11,94,1418572,1971,NI,37,7,15,20,32,0,22,12,2,2,39,22,0.670052702578345
477,H,399,17,652474,1972,LT,28,7,11,6,10,1,22,6,13,21,16,9,0.150776358147393
478,F,661,13,2048395,1955,LREM,33,30,30,6,47,0,19,11,2,9,64,9,0.274464560017555
481,F,201,14,692839,1958,SOC,16,3,72,26,21,0,18,10,4,1,3,3,0.187244440787068
482,F,346,87,370363,1972,LREM,36,19,25,23,23,0,21,12,14,5,53,19,0.150776358147393
483,H,392,69,1892753,1945,LREM,68,15,255,225,309,0,21,10,4,14,153,90,0.324581145286322
484,F,588,31,1424915,1954,LREM,33,1,5,0,18,0,17,3,18,7,19,6,0.177860462273925
485,F,400,56,763103,1959,LREM,50,16,11,2,41,5,18,11,3,1,14,3,0.169444376715242
486,H,365,1,662244,1954,LR,20,13,16,3,21,0,19,12,19,23,4,0,0.324581145286322
487,H,397,67,1147474,1978,LREM,59,49,24,10,131,47,21,22,0,1,2,5,0.552756977921241
488,H,18,78,1452910,1970,LREM,18,12,9,12,26,0,18,10,1,0,33,35,0.670052702578345
489,F,308,35,1094636,1967,LREM,43,14,9,1,25,3,20,9,5,2,24,3,0.169444376715242
490,F,18,78,1452910,1965,LREM,50,21,18,6,24,128,22,12,7,1,14,21,0.670052702578345
491,F,6789,971,375693,1956,SOC,27,3,7,2,65,1,7,6,0,0,38,15,0.279452856411382
492,F,216,58,199518,1978,MODEM,53,8,9,18,131,0,25,10,5,11,22,16,0.372406088535121
493,H,877,2B,186516,1973,LT,18,5,58,32,18,1,15,9,19,16,102,53,0.337544193304562
494,F,499,33,1654445,1963,LREM,34,18,41,8,7,0,19,15,0,0,4,10,0.150776358147393
496,H,112,76,1250846,1976,LREM,29,8,4,4,1,0,17,8,13,5,10,6,0.187244440787068
497,H,199,8,265099,1965,UDI,33,12,1,2,1,0,22,9,12,18,3,0,0.552756977921241
498,H,253,50,491365,1969,LREM,17,7,16,6,8,1,14,8,5,5,0,8,0.187244440787068
499,F,343,44,1458768,1980,LREM,22,9,0,0,7,2,18,9,0,0,0,5,0.221624069339017
500,F,352,79,374350,1973,NI,14,6,128,56,81,21,16,9,7,6,250,58,0.150776358147393
501,H,588,31,1424915,1958,MODEM,24,6,18,4,19,1,20,10,11,13,2,0,0.177860462273925
502,H,281,57,1038440,1957,LREM,25,11,6,1,9,0,19,9,0,0,2,1,0.552756977921241
503,F,658,9,153115,1976,LFI,19,1,28,12,25,0,16,8,8,1,79,12,0.177860462273925
504,F,392,69,1892753,1970,LREM,29,8,145,7,114,0,20,8,2,2,50,15,0.324581145286322
505,H,392,69,1892753,1954,LREM,16,6,1,0,1,0,15,9,6,2,6,0,0.324581145286322
506,F,365,1,662244,1981,LREM,34,10,11,3,25,2,22,14,1,0,22,6,0.324581145286322
507,H,204,59,2598299,1991,AE,24,22,6,28,9,2,16,17,15,29,0,15,0.379909828123325
508,H,327,25,543221,1958,LREM,34,15,19,0,18,0,23,10,16,5,90,0,0.372406088535121
509,H,379,22,599118,1953,MODEM,26,14,5,0,13,3,21,12,7,4,0,0,0.169444376715242
512,H,489,7,327775,1968,LR,27,10,129,10,57,4,20,11,27,29,304,159,0.324581145286322
513,H,6856,972,354824,1965,GDR,12,3,18,9,15,0,6,4,9,11,18,29,0.243582147499198
514,H,410,42,765283,1967,LREM,32,19,13,1,1,3,18,15,14,15,16,1,0.324581145286322
515,F,339,71,547181,1959,LR,44,24,38,10,43,2,21,17,23,39,140,46,0.372406088535121
517,H,379,22,599118,1970,LREM,43,16,3,4,10,6,22,11,5,1,1,6,0.169444376715242
518,H,339,71,547181,1979,LREM,40,8,7,0,13,0,20,7,1,0,9,3,0.372406088535121
519,F,265,49,819528,1973,LREM,42,25,7,30,21,1,21,18,17,1,17,38,0.221624069339017
520,H,686,6,1089270,1966,LREM,23,6,2,1,11,0,21,7,11,10,7,0,0.274464560017555
521,H,426,24,410730,1949,LREM,26,9,8,2,7,0,17,7,3,0,26,1,0.150776358147393
522,F,495,46,174208,1982,LREM,27,10,22,6,73,0,19,9,0,0,47,10,0.177860462273925
523,H,265,3,331745,1958,GDR,32,24,85,86,37,7,21,20,12,26,34,101,0.324581145286322
524,H,392,69,1892753,1966,NI,23,20,5,16,12,2,16,15,3,2,0,18,0.324581145286322
525,H,265,49,819528,1972,NI,64,21,85,26,188,0,25,15,21,13,363,100,0.221624069339017
526,H,204,59,2598299,1969,LR,17,10,9,33,6,0,17,13,17,9,6,21,0.379909828123325
